,Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Fav genre_Classical,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R&B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music,Primary streaming service_Apple Music,Primary streaming service_No service,Primary streaming service_Other,Primary streaming service_Pandora,Primary streaming service_Spotify,Primary streaming service_YouTube Music
26,1,5,1,1,1,1,1,0,2,2,1,1,1,3,2,0,0,3,0,3,3,3,3,2,8,6,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27,2,2,1,1,1,0,1,0,2,1,1,1,1,2,2,0,0,0,0,3,2,2,0,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,1,0,1,1,0,1,1,0,0,3,1,1,0,0,1,2,3,1,1,3,1,0,2,2,6,6,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
29,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,2,2,0,0,2,0,8,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
30,2,2,1,1,0,1,1,0,0,1,1,3,0,3,2,0,2,2,3,2,2,2,3,1,7,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
31,2,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,2,0,3,0,0,0,3,4,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,2,2,1,1,0,1,1,0,0,0,0,1,0,1,2,1,0,2,3,2,0,0,2,2,9,8,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,1,1,0,0,0,1,1,0,1,1,1,3,0,2,1,1,0,1,1,3,1,2,3,1,5,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,2,2,1,1,0,1,0,0,2,1,2,1,2,2,1,2,1,2,1,3,2,2,1,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,2,1,1,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,3,0,1,0,0,6,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
37,1,1,1,0,0,1,0,0,0,0,2,0,0,3,1,2,0,0,1,3,2,3,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
38,2,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,3,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
39,2,1,1,0,0,1,0,0,1,1,3,2,1,2,1,2,0,2,1,3,3,2,3,1,7,2,8,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,2,0,1,1,1,1,0,0,2,1,0,1,2,0,2,1,1,1,1,2,2,1,2,3,4,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,2,2,1,1,0,1,0,0,3,0,0,2,0,2,2,1,0,2,3,2,1,2,3,2,7,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
42,4,0,0,0,0,1,0,0,3,1,0,1,0,1,2,0,1,0,0,3,2,0,2,2,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
43,1,1,1,0,0,1,1,0,3,0,3,0,0,3,2,2,1,2,0,2,3,3,1,2,6,6,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,2,1,1,0,0,1,1,0,1,0,0,0,0,3,1,0,0,0,3,2,2,3,3,3,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
45,1,0,1,1,1,0,0,0,0,2,1,3,0,1,0,0,1,1,1,1,1,2,2,2,7,3,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,4,0,0,1,1,0,0,0,3,2,0,1,0,0,0,0,0,0,2,1,0,0,2,0,8,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,2,1,1,0,0,1,1,0,1,0,1,2,0,0,0,1,0,3,1,2,0,0,3,2,9,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
48,2,2,1,0,1,1,1,0,0,0,1,1,0,3,1,0,1,1,3,2,1,3,3,0,7,9,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
49,2,1,1,0,0,0,1,0,2,1,2,0,0,3,2,1,0,2,1,3,2,2,2,2,7,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
50,1,0,1,1,0,1,0,0,0,1,3,0,0,1,0,0,1,1,3,2,2,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,1,2,1,0,0,1,1,0,1,0,0,1,2,3,1,3,3,3,0,2,3,3,1,0,7,8,7,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,2,0,0,0,0,0,1,0,2,1,2,1,0,3,3,0,0,0,2,1,1,3,3,1,10,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
53,2,5,1,0,0,1,1,0,3,1,0,3,0,1,2,1,1,1,0,3,2,1,1,0,3,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
54,2,1,1,0,1,1,1,0,1,0,1,2,0,1,1,0,0,1,2,3,2,1,3,1,8,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
55,1,0,1,1,0,1,0,0,3,0,0,0,0,1,2,0,0,0,0,1,1,1,2,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,2,3,0,8,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
57,4,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,1,1,0,2,2,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
58,2,2,1,0,0,1,1,0,1,3,0,3,3,2,1,0,1,0,2,2,1,1,1,2,6,4,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,2,0,1,1,0,0,0,0,2,2,2,1,0,1,2,1,1,3,0,2,3,1,2,3,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
60,2,0,0,1,0,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,2,0,0,1,0,1,0,0,1,0,2,1,0,0,3,0,0,0,0,2,1,0,3,1,8,7,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
62,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,3,2,3,2,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
63,2,0,0,0,0,0,1,0,1,1,1,2,0,1,0,1,0,1,3,2,0,1,3,3,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
64,3,2,1,0,0,0,1,0,2,0,1,2,0,2,1,1,0,0,3,3,3,1,3,0,10,10,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
65,4,2,1,0,0,1,1,0,3,0,1,3,0,0,0,2,0,1,3,1,0,0,2,3,5,4,10,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
66,2,1,0,0,0,1,1,0,2,2,0,1,0,0,1,0,1,0,3,3,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
67,3,1,0,0,0,1,0,0,1,2,1,0,1,3,1,1,1,1,0,2,2,2,2,0,8,8,5,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,4,1,1,1,1,1,1,0,2,0,2,0,0,1,1,0,0,2,2,2,0,1,1,0,10,7,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
69,4,0,1,1,1,1,0,0,2,1,3,2,1,1,3,0,0,0,3,2,1,1,3,2,7,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
70,2,1,1,0,0,1,0,0,1,2,2,1,0,2,1,0,2,2,2,2,3,3,3,1,8,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
71,3,0,1,0,0,1,1,0,0,2,0,1,2,0,2,1,0,0,2,3,0,0,3,0,10,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
72,1,1,1,0,0,0,1,0,2,1,1,2,0,1,1,1,1,2,2,3,1,1,3,3,9,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
73,2,0,1,1,1,1,1,0,1,1,3,1,1,3,1,1,1,1,1,2,1,3,3,1,6,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,2,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,2,2,3,0,0,7,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,1,2,1,1,1,1,1,0,2,1,0,0,1,1,3,3,1,0,0,3,1,3,2,0,7,7,8,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,1,2,1,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,3,1,0,0,3,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
77,2,4,1,0,0,1,1,0,0,1,3,0,0,2,0,3,0,0,0,1,3,1,0,0,7,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
78,2,0,0,0,0,0,1,0,2,1,3,0,1,1,1,0,0,2,0,3,1,2,1,3,9,0,5,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,2,1,1,0,0,1,1,0,0,0,1,0,0,3,2,2,1,2,0,3,3,3,2,1,2,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,2,2,0,1,1,1,1,0,1,0,0,1,0,2,3,0,3,1,2,1,2,1,3,1,10,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
81,2,1,1,0,0,1,0,0,1,0,1,0,0,3,3,1,2,3,0,2,2,2,1,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,2,0,1,0,0,1,1,0,0,0,3,0,0,2,0,3,0,0,0,2,0,2,3,1,7,8,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,1,1,1,1,1,1,1,0,1,2,0,3,0,1,2,0,2,2,1,3,1,0,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
84,2,1,1,0,0,1,1,0,1,0,2,0,0,3,1,3,1,1,1,3,3,3,1,3,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
85,4,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,2,1,1,3,0,9,10,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
86,1,2,1,1,0,0,0,0,1,0,3,0,0,0,3,0,2,0,0,2,0,0,3,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,3,0,0,0,0,0,1,0,1,2,2,0,0,2,0,0,1,0,3,2,1,2,2,2,5,2,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
88,2,0,0,0,0,0,0,0,1,2,0,2,0,3,3,0,0,0,3,3,3,3,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
89,3,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,1,0,2,3,3,1,0,2,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,3,2,1,1,0,1,0,0,2,1,0,2,0,1,0,0,0,0,3,2,0,0,3,0,7,6,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
91,4,2,1,1,1,1,1,0,2,1,3,1,1,1,1,2,1,3,1,2,1,0,2,3,5,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
92,2,1,1,0,0,1,1,0,3,1,1,0,0,1,1,0,0,0,2,3,1,0,3,1,4,6,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,4,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,2,1,1,3,0,6,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
94,2,1,1,0,0,1,0,0,1,0,1,0,0,1,2,0,0,2,0,2,0,0,1,3,8,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
95,2,4,1,0,0,1,1,0,1,3,0,3,0,0,1,0,0,0,3,1,0,1,2,2,9,6,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
96,2,1,0,0,1,1,1,0,1,2,3,0,0,2,0,1,0,2,0,2,0,2,2,1,0,3,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
